ApplicationType_Limit raise,ApplicationType_New credit,LoanGoal_Car,LoanGoal_Caravan / Camper,LoanGoal_Existing loan takeover,LoanGoal_Extra spending limit,LoanGoal_Home improvement,LoanGoal_Motorcycle,LoanGoal_Not speficied,LoanGoal_Other see explanation,LoanGoal_Remaining debt home,LoanGoal_Unknown,LoanGoal_other,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment,adaptation_action_recommendation,hit
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,899,80.136148,32.703908,10000.0,302.21,36,10000.0,1658,3,2,9,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,80.16202,47.677916,5000.0,206.27,26,5000.0,1547,4,3,12,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,899,80.163066,30.677119,8304.0,239.0,127,23900.0,1641,4,3,6,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,15000.0,899,80.165676,34.988412,8304.0,500.0,56,25000.0,1610,4,2,6,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,8000.0,820,80.172075,9.041583,8000.0,288.97,30,8000.0,1619,3,2,14,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,15000.0,899,80.17212,31.668188,8304.0,150.0,127,15000.0,1701,3,1,8,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,965,80.172526,8.822474,2627.0,199.14,27,5000.0,1619,3,1,12,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,800,80.192544,8.80343,6700.0,75.44,120,6700.0,1544,3,4,10,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,10000.0,1011,80.193516,13.827922,10000.0,176.19,66,10000.0,1560,4,0,9,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,10000.0,898,80.19416,11.018051,5500.0,100.0,134,10000.0,1596,3,3,9,1,1,1
0,1,0,0,0,0,0,0,0,0,0,1,0,12500.0,795,80.206874,8.00318,2474.0,551.51,24,12500.0,1636,3,1,15,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,45000.0,899,80.216211,11.005973,15000.0,500.0,48,21500.0,1586,3,3,12,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,22000.0,938,80.219954,7.991029,22000.0,400.0,62,22000.0,1661,3,1,9,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6700.0,899,80.222769,30.617206,8304.0,250.0,29,6700.0,1545,3,4,10,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0,7500.0,804,80.227247,37.894111,8304.0,150.0,58,7500.0,1557,4,0,10,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,20000.0,888,80.235575,10.854617,8304.0,237.28,72,14500.0,1590,3,3,10,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,18000.0,899,80.238156,31.601943,18000.0,291.67,71,18000.0,1636,3,1,15,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,40000.0,899,80.243047,10.655816,40000.0,500.66,96,40000.0,1588,3,3,19,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,80.245861,0.109522,14000.0,734.53,20,14000.0,1811,3,0,18,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,851,80.253101,10.865715,10000.0,150.0,80,10000.0,1585,3,3,12,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,1,10000.0,911,80.253391,10.875947,5000.0,200.0,57,10000.0,1708,3,1,8,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,20000.0,914,80.266832,10.722058,8304.0,200.0,57,10000.0,1569,4,4,8,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,942,80.26769,22.766605,7500.0,150.38,58,7500.0,1568,4,4,9,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,768,80.277994,21.951683,8304.0,1000.0,56,50000.0,1548,4,4,8,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,80.281876,30.558003,8304.0,150.0,127,15000.0,1807,3,0,18,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,12000.0,899,80.292365,30.547502,9148.16,551.51,24,12500.0,1545,3,4,9,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,899,80.294752,20.803135,41000.0,597.93,80,41000.0,1584,3,3,11,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,80.295126,30.544721,2720.0,118.15,48,5000.0,1660,4,3,6,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,937,80.297684,22.797177,100.0,300.0,56,15000.0,1543,4,4,11,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,631,80.305217,8.71942,5000.0,469.02,11,5000.0,1810,3,0,18,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,27000.0,891,80.307763,10.842289,6999.0,374.04,85,27000.0,1568,4,4,10,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,863,80.318689,17.904585,8304.0,150.0,127,15000.0,1533,4,4,12,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,6200.0,899,80.320705,30.519116,8304.0,62.0,138,6200.0,1661,4,3,6,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,80.321373,22.80612,8304.0,150.0,132,14800.0,1587,4,2,11,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,20000.0,899,80.322802,13.750913,7000.0,300.0,78,20000.0,1584,3,3,11,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,844,80.344639,8.802119,4018.57,98.8,59,5000.0,1631,3,1,9,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,80.346883,10.769924,5000.0,291.87,18,5000.0,1813,3,0,18,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,7500.0,899,80.351167,30.488619,8304.0,100.0,94,7500.0,1588,3,3,19,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,991,80.354729,9.647548,13567.0,210.12,120,20000.0,1625,3,1,8,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,899,80.359199,30.480559,10000.0,191.27,60,10000.0,1667,4,3,6,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,18500.0,775,80.366166,8.788433,1469.57,194.36,120,18500.0,1601,3,3,10,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,914,80.370581,29.443695,10000.0,232.82,48,10000.0,1616,4,1,13,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,839,80.388213,9.624084,10000.0,108.81,120,10000.0,1622,3,2,13,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,18000.0,905,80.390634,9.725594,7723.0,337.98,60,18000.0,1620,3,2,14,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,15000.0,840,80.391182,8.762721,15000.0,299.46,56,15000.0,1588,3,3,19,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,80.398512,9.520396,5000.0,252.12,21,5000.0,1632,3,1,16,0,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0,50000.0,899,80.398698,16.732467,30000.0,600.0,126,60000.0,1585,3,3,14,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6500.0,899,80.400082,31.439738,6500.0,153.59,48,6500.0,1639,3,1,14,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,12000.0,937,80.405665,7.675893,8304.0,180.0,80,12000.0,1543,3,4,7,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0,13000.0,899,80.40803,16.548724,10000.0,82.01,180,10000.0,1587,4,2,11,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,80.408486,31.431286,8304.0,100.0,58,5000.0,1647,4,4,6,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,7500.0,899,80.426834,49.412822,8304.0,247.52,80,0.0,1535,4,5,10,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,25000.0,878,80.430267,16.500687,7100.0,210.0,127,21000.0,1568,4,4,12,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,823,80.436685,10.775006,5000.0,152.82,36,5000.0,1611,3,3,8,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,10000.0,959,80.449741,22.621297,8304.0,250.0,45,10000.0,1554,4,0,13,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,973,80.451693,31.425133,15000.0,299.46,56,15000.0,1571,4,1,9,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,12500.0,899,80.452696,3.511055,11700.0,291.03,48,12500.0,1540,3,4,8,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,80.551697,31.288432,5000.0,97.4,60,5000.0,1681,3,1,9,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,17000.0,899,80.861835,30.978231,8304.0,535.72,34,17000.0,1643,3,1,18,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,19000.0,1036,80.897532,9.217412,338.0,419.97,50,19000.0,1655,3,1,10,0,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,899,80.906667,13.238306,8304.0,200.0,127,20000.0,1568,4,4,10,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,899,80.908819,10.121214,2500.0,200.0,127,20000.0,1655,3,1,10,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,21000.0,979,80.910288,16.131319,8304.0,300.0,82,21000.0,1579,4,1,12,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,12000.0,902,80.911354,13.234491,6000.0,200.0,71,12000.0,1539,3,5,9,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1028,80.937821,16.198026,8304.0,500.0,126,50000.0,1598,4,2,7,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,926,80.943278,9.08188,15000.0,281.65,60,15000.0,1632,3,1,10,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,12000.0,717,80.95021,13.108125,2000.0,150.0,100,12000.0,1565,4,4,9,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,8000.0,899,80.955398,9.029949,1500.0,65.0,138,6500.0,1631,3,1,9,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,735,80.961457,9.212307,5000.0,152.82,36,5000.0,1539,3,5,9,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,10000.0,1016,80.969055,13.050847,8304.0,275.0,40,10000.0,1577,4,4,6,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,80.970794,7.148297,8304.0,400.0,56,20000.0,1649,3,2,10,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,997,80.990786,30.849496,3915.0,191.27,60,10000.0,1554,4,3,11,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,17500.0,766,80.993851,19.878979,15346.0,200.0,127,20000.0,1535,4,3,15,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,20000.0,931,81.014121,11.145531,800.0,200.0,127,20000.0,1644,3,2,9,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,50000.0,899,81.016265,48.366082,50000.0,522.97,120,50000.0,1536,4,5,10,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,27000.0,832,81.042792,16.198876,27000.0,300.0,111,27000.0,1599,4,2,7,0,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,11500.0,899,81.043006,20.172603,8304.0,150.0,95,11500.0,1576,4,4,6,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,13000.0,899,81.044965,43.795044,8304.0,247.52,80,0.0,1651,3,1,12,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,666,81.046992,10.098254,5000.0,97.4,60,5000.0,1569,4,4,11,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,799,81.052979,31.103894,10000.0,100.0,134,10000.0,1539,3,5,9,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,15000.0,899,81.056125,30.783767,8304.0,200.0,89,15000.0,1650,3,1,12,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,81.056672,30.783232,8304.0,150.0,127,15000.0,1638,4,4,6,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,13000.0,899,81.057529,6.990261,13500.0,247.55,63,13500.0,1621,3,1,11,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,899,81.060342,10.258439,8304.0,560.0,60,30000.0,1539,3,5,9,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,81.069338,30.770603,5000.0,152.82,36,5000.0,1540,3,5,9,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1001,81.093402,21.158836,20000.0,210.12,120,20000.0,1536,4,4,11,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,37500.0,841,81.094704,16.053682,8500.0,375.0,126,37500.0,1587,4,2,11,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,716,81.114262,14.721296,5000.0,222.31,24,5000.0,1585,3,3,13,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,18000.0,899,81.11732,14.840861,3000.0,180.0,127,18000.0,1646,3,1,13,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,81.118194,30.721655,5062.0,102.11,134,9800.0,1649,3,1,13,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,775,81.127764,9.012986,7176.14,522.97,120,50000.0,1544,3,4,12,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,16000.0,899,81.130838,30.709027,8304.0,300.0,60,16000.0,1641,4,4,6,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,24000.0,831,81.132258,30.844176,7173.59,261.48,120,25000.0,1611,3,3,8,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,899,81.138577,15.018296,10000.0,149.86,80,10000.0,1646,3,1,19,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,873,81.14627,9.040186,5000.0,152.82,36,5000.0,1603,3,3,9,1,1,1
