trace_id,event:start_weekday,trace:cycle_time,adaptation_action,adaptation_action_recommendation,hit
400,4,3872.012316,skip,skip,1
401,2,225.13753878333333,no-action,skip,0
402,4,240.24919093333327,no-action,skip,0
403,4,219.07778041666663,no-action,skip,0
404,3,207.57402553333333,no-action,skip,0
405,3,239.6876928833333,no-action,skip,0
406,4,260.75563973333334,skip,skip,1
407,4,215.2522287333333,no-action,skip,0
408,4,207.03236076666667,insert,skip,0
409,4,209.56281178333333,no-action,skip,0
410,4,255.5731959,skip,skip,1
411,4,1217.29019985,skip,skip,1
412,2,1191.0864591,skip,skip,1
413,4,1144.0575025166668,skip,skip,1
414,4,241.5118373333333,no-action,skip,0
415,4,219.25156481666667,no-action,skip,0
416,4,1136.966610833333,skip,skip,1
417,4,248.85889846666663,no-action,skip,0
418,0,260.8525125,skip,skip,1
419,0,232.7995454333333,no-action,skip,0
420,0,205.2602839,insert,skip,0
421,4,207.05174581666665,no-action,skip,0
422,4,259.67026896666664,skip,skip,1
423,3,237.3338880833333,no-action,skip,0
424,0,198.4257168833333,no-action,skip,0
425,0,212.74841501666663,no-action,skip,0
426,0,241.05246571666663,no-action,skip,0
427,0,1299.7078768166666,skip,skip,1
428,0,1035.2873085,skip,skip,1
429,0,1206.85206,skip,skip,1
430,0,266.67163515,skip,skip,1
431,0,221.63274618333327,no-action,skip,0
432,0,1122.540910683333,skip,skip,1
433,0,222.37041546666663,no-action,skip,0
434,3,250.89532738333327,skip,skip,1
435,0,229.6378807833333,no-action,skip,0
436,1,202.7428041,no-action,skip,0
437,1,215.48162105,no-action,skip,0
438,1,235.21586375,no-action,skip,0
439,0,219.28039226666667,no-action,skip,0
440,0,205.18679825,no-action,skip,0
441,1,239.0433049,no-action,skip,0
442,1,260.5616367,skip,skip,1
443,1,1182.58885175,skip,skip,1
444,1,1022.01138845,skip,skip,1
445,0,1315.6211102,skip,skip,1
446,3,257.6946423333333,skip,skip,1
447,1,235.22701885,no-action,skip,0
448,1,1186.6297263,skip,skip,1
449,1,216.3382397833333,no-action,skip,0
450,1,243.15353201666667,no-action,skip,0
